Reagent Name,Type,Description,Common Uses,Virtue,Quality,Motion,Location
Silverleaf,Botanical,"Pale, narrow-leaved plant with silver veins; sharpens perception.","Clear-sight elixirs, focus drops, and truth-seeing washes.",Clarity,Cool and Dry,Opening,"Hills, cliffs, groves, and forest edges"
Glass-Sand,Geological,Pale glittering mineral sand; organizes sight and light.,"Clear-sight elixirs, lens washes, and truth inks.",Clarity and structure,Cool and Dry,Opening and Closing,"Riverbeds, beaches, and caves"
Dawnmoss,Botanical,Golden moss that supports recovery and tissue mending.,"Mending draughts, fatigue restoratives, and growth pastes.",Renewal,Warm and Moist,Opening and Quickening,"Ruins, stones, and tree roots"
Spring Water,Elemental,Fresh water rising from earth; lively and clean.,"Restorative draughts, renewal elixirs, and medicines.",Renewal and natural flow,Cool and Moist,Rising and Opening,"Springs, hills, and woodland"
Phoenix Down,Animal-Magical,Shed fiery-gold feather-floss for serious restoration.,"High restoratives, revival incense, and fatigue elixirs.",Rekindling and renewal,Warm and Moist,Rising and Quickening,Phoenix roosts and volcanic sites
Lionroot,Botanical,Tawny root resembling a mane; strengthens resolve.,"Courage draughts, battle cordials, and endurance tonics.",Courage and vigor,Warm and Dry,Rising and Quickening,"Grasslands, hills, and meadows"
Sun-Copper,Geological,Warm golden metal carrying solar force and brightness.,"Sun elixirs, courage draughts, and anti-gloom preparations.",Solar vigor,Warm and Dry,Rising and Quickening,"Cliffs, mines, river gravels, and ruins"
Griffin Down,Animal-Magical,Shed feathers carrying courage and noble alertness.,"Courage draughts, scout's elixirs, and anti-fear incense.",Noble courage and alertness,Warm and Dry,Rising and Quickening,High cliffs and mountains
Lanternweed,Botanical,Translucent plant with a faint glow; reveals edges.,"Night-sight potions, lamp oils, and wayfinder drops.",Illumination,Warm and Dry,Opening and Rising,"Marshes, ruins, and roads"
Shadebloom,Botanical,Dark violet flower; helps one pass unnoticed.,"Stealth draughts, muffling salves, and escape philtres.",Concealment,Cool and Moist,Closing and Sinking,"Deep, Dark Forest, cliffs, and gardens"
Shadow Resin,Botanical,Dark glossy resin that obscures attention.,"Stealth oils, vanishing inks, and muffling salves.",Concealment and quieting,Cool and Dry,Closing and Sinking,"Deep, Dark Forest and caves"
Bitterstar Lichen,Botanical-Fungal,Gray-green lichen used to reject harmful substances.,"Antitoxin draughts, cleansing tinctures, and stomach bitters.",Purging and correction,Cool and Dry,Turning and Opening,"Rocks, caves, and tree bark"
Vinegar Spirit,Alchemical,Sharp alchemical vinegar used to cut and extract.,"Cleansing tinctures, antitoxin bases, and purging.",Separation and cleansing,Cool and Dry,Opening and Turning,Prepared via fermentation
Charcoal Cloth,Alchemical,Dark filtering cloth that removes corruption.,Clarifying tinctures and antitoxin preparations.,Purification,Dry,Turning and Closing,Prepared from cloth and charcoal
Bloodvine,Botanical,Red-veined vine that encourages pulse and breath.,"Vigor tonics, wakefulness draughts, and warrior's salves.",Vital motion,Warm and Moist,Quickening and Rising,"Thickets, battlegrounds, and predator paths"
Thunderstone,Geological,Dark stone holding a charge; awakens force suddenly.,"Emergency waking draughts, storm inks, and charm-breakers.",Shock and awakening,Warm and Dry,Quickening and Opening,Storm-lashed ridges and moors
Stormwater,Elemental,Rain gathered during thunder; carries agitation.,Charm-breaking washes and emergency waking draughts.,Disruption and awakening,Warm and Moist,Quickening and Turning,Gathered during thunderstorms
Glass Orchid Nectar,Botanical,Clear thick nectar; preserves memory and reflection.,"Memory tinctures, scholar's elixirs, and reflective inks.",Memory and reflection,Cool and Moist,Turning and Opening,"Caves, cliffs, and grottos"
Deep-Well Water,Elemental,Water from deep stone sources carrying memory.,"Dream draughts, memory tinctures, and quieting washes.",Memory and depth,Cool and Moist,Sinking and Stilling,"Wells, cisterns, and springs"
Mooncap Fungus,Fungal,Gray-white fungus used for sleep and dreams.,"Sleep draughts, dream tinctures, and trance incense.",Sleep and dream passage,Cool and Moist,Stilling and Opening,"Deep, Dark Forest and damp stones"
Moonstone,Geological,Milky mineral that reflects and orders lunar work.,"Dream elixirs, sleep draughts, and stabilizers.",Reflection and dream-ordering,Cool and Moist,Stilling and Turning,"Caves, cliffs, and springs"
Moonwater,Elemental,Water exposed to moonlight; carries dream virtues.,"Sleep draughts, moon elixirs, and gentle washes.",Reception and softening,Cool and Moist,Stilling and Opening,Prepared under moonlight
Winterbark,Botanical,Pale bark providing steadiness and slow endurance.,Warming draughts and endurance bases.,Endurance and slow warmth,Warm and Dry,Sinking and Closing,Cold forests and highlands
